author,img,intro,name,state,type,url
风凌天下,//bookcover.yuewen.com/qdbimg/349573/1005986994/150,药不成丹只是毒，人不成神终成灰。…………天道有缺，人间不平，红尘世外，魍魉横行；哀尔良善，怒尔不争；规则之外，吾来执行。布武天下，屠尽不平；手中有刀，心中有情；怀中美人，刀下奸雄；冷眼红尘，无憾今生。,我是至尊,连载中,东方玄幻,//book.qidian.com/info/1005986994
踏雪真人,//bookcover.yuewen.com/qdbimg/349573/3494835/150,我的敌人只有两种，一种是跪着的，一种是躺着的。我叫高正阳，诸天万界中，最霸道最任性的那个。,霸皇纪,连载中,东方玄幻,//book.qidian.com/info/3494835
奥比椰,//bookcover.yuewen.com/qdbimg/349573/1010318085/150,《恐怖城》，号称史上最恐怖的手游。没人玩？不要紧。日薪三百起步，包吃包住。新晋高中生奶爸金轲进入游戏的目的很简单，想要靠手游养活他自己和六个月大的女儿。后来他才发现，这款手游比它声称的更加恐怖。因为…,绝命手游,完本,恐怖惊悚,//book.qidian.com/info/1010318085
想见江南,//bookcover.yuewen.com/qdbimg/349573/3577214/150,我从凡间来，到此觅长生。***********我从凡间来普通群：546435549vip书友群：556919537（需全订验证）,我从凡间来,连载中,修真文明,//book.qidian.com/info/3577214
二将,//bookcover.yuewen.com/qdbimg/349573/1010236126/150,韩义在路上扫了个二维码，然后桌面上多了个应用。这个应用很奇怪，它可以捕捉到现实里的一切物品，通过解析来重组物品。【滴滴！！电路模块板-Dome-屏幕-前后盖-重组手机！】【滴滴！！75%纯棉-25%亚,国际制造商,完本,异术超能,//book.qidian.com/info/1010236126
沉入太平洋,//bookcover.yuewen.com/qdbimg/349573/1010540347/150,“妞妞。”“嗯？”“你爱不爱爸爸？”“爱！”“有多爱？”“很爱！”“很爱是多爱啊？”“像天空一样大的爱！”“嗯！”在登临人生巅峰的时候，罗凯回到了重生前的那一刻。当他再次见到妞妞，才明白自己的归来，正,明星爸爸宝贝妞,连载中,娱乐明星,//book.qidian.com/info/1010540347
青城无忌,//bookcover.yuewen.com/qdbimg/349573/3607274/150,拍出最好的电影，教出最好的学生。我是张然，电影导演，北电老师，我为中国电影代言！（华娱小说，非喜勿入。）,电影教师,连载中,都市生活,//book.qidian.com/info/3607274
俊秀才,//bookcover.yuewen.com/qdbimg/349573/1004074281/150,一次跑步锻炼，殷俊从迷雾中穿出来时，已经回到了78年的香江。这一年，还没有霸占荧幕的综艺节目，没有熟悉的特效大片，也没有耳熟能详的歌曲。这一年，香江电视剧还没有好戏频出，香江电影也没有火遍全亚洲，香江,重生之最强人生,连载中,都市生活,//book.qidian.com/info/1004074281
瑞根,//bookcover.yuewen.com/qdbimg/349573/1011207893/150,当扑面而来的时代巨澜把懵懵懂懂的沙正阳卷入其中时，他是随波逐流，风花雪月，还是长缨在手，逆流击波？干想干的事，为恣意人生。做该做的事，为家国情怀。一万年太久，只争朝夕！到中流击水，浪遏飞舟！,还看今朝,连载中,都市生活,//book.qidian.com/info/1011207893
人间武库,//bookcover.yuewen.com/qdbimg/349573/1009398284/150,"时光是一艘航船，有人喜欢把90年代初的那几年，视为曾经那个纯真年代的最后一程。岁月更迭中早已不再单纯的江澈，逆流归来，重启1992,书写一场终于可以被妥善安放的璀璨青春。【欢迎加入逆流纯真年代VIP二",逆流纯真年代,完本,都市生活,//book.qidian.com/info/1009398284
睡觉会变白,//bookcover.yuewen.com/qdbimg/349573/1004976324/150,本以为是写实的都市生活，结果一言不合就改设定！灵气复苏，道法重现，这大概是一个现代文明转变成修真文明的故事。…………本书仍然很墨迹书友群：666-464-52。V群：465-455-757,顾道长生,连载中,异术超能,//book.qidian.com/info/1004976324
坟土荒草,//bookcover.yuewen.com/qdbimg/349573/3223937/150,陈曦看着将一块数百斤巨石撇出去的士卒，无语望苍天，这真的是东汉末年？吕布单枪匹马凿穿万人部队，这怎么看都不科学。赵子龙真心龙魂附体了，一剑断山，这真的是人？典韦单人护着曹操杀出敌营，顺手宰了对面数千步,神话版三国,连载中,秦汉三国,//book.qidian.com/info/3223937
庚不让,//bookcover.yuewen.com/qdbimg/349573/3347952/150,33岁的报社审读编辑边学道一梦回到高考前48天的高中课堂里，本来想囤房子一心当寓公的中年大叔依靠长年读报纸的信息积累，取得耀眼的成就。事业成功后，边学道成立助学基金，支持年轻人创业，鼓励科技创新，弘扬,俗人回档,连载中,都市生活,//book.qidian.com/info/3347952
陈风笑,//bookcover.yuewen.com/qdbimg/349573/1010737835/150,冯君身为985的双学位，毕业就失业了，在都市中艰难打拼，偏偏还放不下架子，他的处境可想而知。直到有一天，他和手机被雷劈了，猛然发现，原来自己可以化身数据，进入app中。化身数据进入app中能做什么？能,大数据修仙,连载中,现代修真,//book.qidian.com/info/1010737835
龙升云霄,//bookcover.yuewen.com/qdbimg/349573/1010242566/150,那一天，一道天雷劈下，王旭没有穿越，他家的大门穿越了。电影，电视剧，动漫，小说，远古神话，这里有无尽的时空，也意味着无尽的可能....普通群：260616572《无加入要求》vip群：2000粉丝值可,电影世界穿梭门,连载中,时空穿梭,//book.qidian.com/info/1010242566
想枕头的瞌睡,//bookcover.yuewen.com/qdbimg/349573/1009845993/150,“太上老君，护你那金丹干嘛啊？我不拿你的金丹。……这炉子我拿走了哈！”沈冰玩的一款修仙手游忽然连通了仙界，修仙什么的都是浮云，倒是从仙界获得的物品竟然解析出了黑科技，一张新手传送符弄出了量子传送技术，,仙界科技,连载中,异术超能,//book.qidian.com/info/1009845993
千年静守,//bookcover.yuewen.com/qdbimg/349573/1010709923/150,被大宇宙的意志给踢回了1978年的陈耕，故事再次开始。,动力之王,连载中,都市生活,//book.qidian.com/info/1010709923
第九天命,//bookcover.yuewen.com/qdbimg/349573/1008984041/150,二十一世纪道家弟子张百仁，因为触动先天剑胎，逆转时空降临隋唐时空。论道钟离权，斗剑吕洞宾！拂袖压玄奘，一剑退达摩！统御之权，归于至圣，天命帝以司牧，帝承天而抚临。这一日，张百仁背负双手傲立于紫禁之巅，,一品道门,连载中,神话修真,//book.qidian.com/info/1008984041
远瞳,//bookcover.yuewen.com/qdbimg/349573/3242304/150,郝仁，人如其名，是个好人，理想是平平安安过一辈子，当个穷不死但也发不了财的小房东——起码在他家里住进去一堆神经病生物之前是这样。一栋偏僻陈旧的大屋，一堆不怎么正常的人外生物，还有一份来自“神明”的劳动,异常生物见闻录,完本,时空穿梭,//book.qidian.com/info/3242304
追梦人Love平,//bookcover.yuewen.com/qdbimg/349573/3681932/150,一个末法时代的鬼巫师车祸被撞死，灵魂穿越，发现自己来了日本，附体在了一个日本人的身上。正想着要在日本闯出一个名堂来，结果顺手拿起一份报纸扫了一眼——工藤新一，日本平成年代的福尔摩斯，警察的救世主？卧槽,名侦探世界里的巫师,连载中,衍生同人,//book.qidian.com/info/3681932
枪手1号,//bookcover.yuewen.com/qdbimg/349573/1003247636/150,不停地战斗，不停的杀敌，秦风是国家的悍将，军队的马前卒，永远冲锋在第一线，用赫赫战功书写着自己光荣的履历，但大变陡至，昔日的功臣，转眼之间却成了国家的罪人，人人得而诛之的叛徒，兄弟血洒疆场，部下反目成,马前卒,连载中,架空历史,//book.qidian.com/info/1003247636
新丰,//bookcover.yuewen.com/qdbimg/349573/1010828991/150,林凡来到异界，成为了一名光荣的普通弟子，原本身处在随时都能被人打成翔的处境中，可突然间，情况不对了。系统开启。叮：抽中永恒级BUFF：不死之身。这一刻，整个世界都不一样了。林凡：“你们能锤死我，算我输,无敌真寂寞,连载中,东方玄幻,//book.qidian.com/info/1010828991
过关斩将,//bookcover.yuewen.com/qdbimg/349573/1009265750/150,《全能运动员》作者过关斩将的新书。跑不快？跳不高？缺乏耐力？体重超标？罚球不准？不会投三分？受伤了？想要康复训练？我来帮你解决！我是一名教练，一名创造奇迹的教练！——————过关斩将创新大作，首次尝试,教练万岁,连载中,体育赛事,//book.qidian.com/info/1009265750
熊狼狗,//bookcover.yuewen.com/qdbimg/349573/1003786696/150,流星划破长空，同样划破了世界的平静。超凡的力量降临人间，是谁在黑暗中窥伺，又是谁在我耳边低语。当咆哮粉碎苍穹，当力量踏平深渊，当所有的生死都被主宰……他们称呼我为——神。书友群：391491394VI,难道我是神,连载中,东方玄幻,//book.qidian.com/info/1003786696
羞涩的小恶魔,//bookcover.yuewen.com/qdbimg/349573/1004935366/150,从2015年的华夏手游程序员宋大伟穿越附体2006年溺亡的美国少年作家安迪史密斯，既然重生了那么就好好的享受生活吧。财富人生——608930126vip群————589506577（需全订截图）,美利坚财富人生,连载中,都市生活,//book.qidian.com/info/1004935366
